business_id,business_name,email,business_type,city,num_products
B0001,First Food & Beverage LLC #1,contact1@business1.com,retail,Chicago,500
B0002,National Sports Co #2,contact2@business2.com,distributor,Seattle,500
B0003,Metro Electronics Solutions #3,contact3@business3.com,distributor,San Jose,500
B0004,National Home & Garden Group #4,contact4@business4.com,distributor,Chicago,500
B0005,United Office Supplies Enterprises #5,contact5@business5.com,online,Denver,500
B0006,Elite Automotive Inc #6,contact6@business6.com,retail,Austin,500
B0007,Elite Clothing Group #7,contact7@business7.com,manufacturer,Chicago,500
B0008,National Automotive Enterprises #8,contact8@business8.com,distributor,Indianapolis,500
B0009,First Automotive LLC #9,contact9@business9.com,wholesale,San Jose,500
B0010,Metro Office Supplies Enterprises #10,contact10@business10.com,retail,Chicago,500
B0011,United Automotive Enterprises #11,contact11@business11.com,retail,Washington DC,500
B0012,United Food & Beverage Group #12,contact12@business12.com,distributor,Los Angeles,500
B0013,Elite Food & Beverage Enterprises #13,contact13@business13.com,online,Denver,500
B0014,Premier Automotive Corp #14,contact14@business14.com,manufacturer,Los Angeles,500
B0015,Global Food & Beverage LLC #15,contact15@business15.com,online,Columbus,500
B0016,United Office Supplies Inc #16,contact16@business16.com,online,Charlotte,500
B0017,Elite Beauty Enterprises #17,contact17@business17.com,wholesale,Washington DC,500
B0018,Premier Sports Enterprises #18,contact18@business18.com,manufacturer,San Antonio,500
B0019,United Beauty Corp #19,contact19@business19.com,retail,Jacksonville,500
B0020,Premier Automotive Solutions #20,contact20@business20.com,manufacturer,San Jose,500
B0021,Elite Toys LLC #21,contact21@business21.com,manufacturer,Columbus,500
B0022,First Office Supplies Corp #22,contact22@business22.com,retail,Austin,500
B0023,Elite Automotive Enterprises #23,contact23@business23.com,online,San Francisco,500
B0024,First Electronics Corp #24,contact24@business24.com,distributor,San Diego,500
B0025,United Home & Garden LLC #25,contact25@business25.com,retail,San Jose,500
B0026,Elite Clothing LLC #26,contact26@business26.com,manufacturer,Chicago,500
B0027,Metro Food & Beverage Co #27,contact27@business27.com,online,Indianapolis,500
B0028,Premier Clothing Solutions #28,contact28@business28.com,retail,Fort Worth,500
B0029,Elite Automotive Inc #29,contact29@business29.com,distributor,Los Angeles,500
B0030,Premier Automotive Enterprises #30,contact30@business30.com,wholesale,San Diego,500
B0031,National Toys Enterprises #31,contact31@business31.com,wholesale,Chicago,500
B0032,Global Automotive LLC #32,contact32@business32.com,retail,Austin,500
B0033,Global Beauty Co #33,contact33@business33.com,retail,Houston,500
B0034,Premier Electronics Enterprises #34,contact34@business34.com,retail,Philadelphia,500
B0035,Elite Electronics LLC #35,contact35@business35.com,wholesale,Jacksonville,500
B0036,Elite Beauty Co #36,contact36@business36.com,retail,San Diego,500
B0037,Premier Office Supplies Group #37,contact37@business37.com,retail,Phoenix,500
B0038,Metro Sports Enterprises #38,contact38@business38.com,wholesale,Fort Worth,500
B0039,Elite Toys Solutions #39,contact39@business39.com,distributor,San Antonio,500
B0040,United Home & Garden Group #40,contact40@business40.com,online,Los Angeles,500
B0041,Global Automotive Enterprises #41,contact41@business41.com,retail,Charlotte,500
B0042,Elite Sports Group #42,contact42@business42.com,wholesale,Phoenix,500
B0043,First Food & Beverage Co #43,contact43@business43.com,retail,Dallas,500
B0044,United Toys Inc #44,contact44@business44.com,retail,Phoenix,500
B0045,Global Clothing Co #45,contact45@business45.com,distributor,Dallas,500
B0046,Metro Beauty Solutions #46,contact46@business46.com,distributor,Denver,500
B0047,National Beauty LLC #47,contact47@business47.com,distributor,New York,500
B0048,Metro Electronics Inc #48,contact48@business48.com,manufacturer,Columbus,500
B0049,First Electronics Group #49,contact49@business49.com,wholesale,Phoenix,500
B0050,First Automotive Corp #50,contact50@business50.com,manufacturer,Charlotte,500
B0051,Elite Office Supplies Co #51,contact51@business51.com,manufacturer,Indianapolis,500
B0052,Global Automotive Co #52,contact52@business52.com,manufacturer,New York,500
B0053,National Books Group #53,contact53@business53.com,distributor,San Antonio,500
B0054,Elite Beauty Inc #54,contact54@business54.com,distributor,Columbus,500
B0055,National Beauty Enterprises #55,contact55@business55.com,manufacturer,Indianapolis,500
B0056,United Automotive LLC #56,contact56@business56.com,retail,Los Angeles,500
B0057,Premier Sports Inc #57,contact57@business57.com,online,Washington DC,500
B0058,Global Food & Beverage Corp #58,contact58@business58.com,manufacturer,Dallas,500
B0059,Global Sports Solutions #59,contact59@business59.com,online,Philadelphia,500
B0060,First Electronics Enterprises #60,contact60@business60.com,retail,Seattle,500
B0061,United Automotive Corp #61,contact61@business61.com,online,San Antonio,500
B0062,First Automotive Corp #62,contact62@business62.com,distributor,Indianapolis,500
B0063,Global Office Supplies Co #63,contact63@business63.com,manufacturer,Charlotte,500
B0064,Elite Clothing Solutions #64,contact64@business64.com,retail,Fort Worth,500
B0065,Elite Home & Garden Co #65,contact65@business65.com,retail,Columbus,500
B0066,National Toys Group #66,contact66@business66.com,manufacturer,Philadelphia,500
B0067,Premier Clothing Group #67,contact67@business67.com,retail,San Antonio,500
B0068,First Office Supplies Enterprises #68,contact68@business68.com,retail,Phoenix,500
B0069,National Electronics LLC #69,contact69@business69.com,retail,Denver,500
B0070,Metro Food & Beverage Group #70,contact70@business70.com,retail,New York,500
B0071,Elite Clothing LLC #71,contact71@business71.com,retail,San Antonio,500
B0072,First Clothing Enterprises #72,contact72@business72.com,wholesale,San Diego,500
B0073,Metro Automotive Co #73,contact73@business73.com,distributor,San Jose,500
B0074,United Books Enterprises #74,contact74@business74.com,retail,Chicago,500
B0075,National Home & Garden Enterprises #75,contact75@business75.com,distributor,Phoenix,500
B0076,Elite Home & Garden Group #76,contact76@business76.com,manufacturer,Houston,500
B0077,Metro Electronics Group #77,contact77@business77.com,online,San Francisco,500
B0078,Elite Electronics Enterprises #78,contact78@business78.com,distributor,San Jose,500
B0079,Global Toys Enterprises #79,contact79@business79.com,online,Houston,500
B0080,Premier Office Supplies Solutions #80,contact80@business80.com,distributor,New York,500
