product_id,product_name,quantity,price,business_id
B0001_P0000,By Toys Specific,621,5965.3,B0001
B0001_P0001,Threat Books Eye,795,5230.49,B0001
B0001_P0002,Condition Beauty Hope,931,4432.77,B0001
B0001_P0003,Base Toys Center,313,5690.6,B0001
B0001_P0004,Kind Electronics Case,625,9601.48,B0001
B0001_P0005,Show Clothing Many,971,7629.73,B0001
B0001_P0006,People Books Law,271,6607.67,B0001
B0001_P0007,Common Food Conference,246,1746.39,B0001
B0001_P0008,Those Clothing World,161,36.72,B0001
B0001_P0009,Foreign Beauty Goal,706,5942.16,B0001
B0001_P0010,Each Sports Result,34,2322.44,B0001
B0001_P0011,Dream Sports Three,720,8597.46,B0001
B0001_P0012,View Clothing No,704,2341.89,B0001
B0001_P0013,Official Sports Site,807,7914.55,B0001
B0001_P0014,Piece Books Mean,436,1156.61,B0001
B0001_P0015,Give Books Might,664,1498.39,B0001
B0001_P0016,Treat Sports Where,847,1430.93,B0001
B0001_P0017,Very Electronics Truth,170,7928.35,B0001
B0001_P0018,Ability Sports Stop,450,1252.28,B0001
B0001_P0019,Present Sports Production,717,4031.05,B0001
B0001_P0020,Prevent Sports Present,513,5404.41,B0001
B0001_P0021,Collection Beauty Audience,83,5984.38,B0001
B0001_P0022,Then Toys You,753,3229.98,B0001
B0001_P0023,Just Sports Certain,27,922.35,B0001
B0001_P0024,Believe Electronics Training,784,6726.08,B0001
B0001_P0025,The Sports Wife,591,411.9,B0001
B0001_P0026,Since Food Meeting,482,5194.44,B0001
B0001_P0027,Rise Beauty Huge,939,2788.77,B0001
B0001_P0028,Right Toys Allow,651,8144.3,B0001
B0001_P0029,Human Clothing Onto,482,3486.12,B0001
B0001_P0030,Meet Home Memory,329,6704.62,B0001
B0001_P0031,Camera Food Defense,338,4122.32,B0001
B0001_P0032,Send Beauty Project,296,6629.2,B0001
B0001_P0033,Operation Toys Not,834,7607.38,B0001
B0001_P0034,Surface Electronics Act,466,889.71,B0001
B0001_P0035,Apply Sports Group,332,1168.05,B0001
B0001_P0036,Concern Toys Read,886,5150.81,B0001
B0001_P0037,Lay Electronics Stay,674,8694.97,B0001
B0001_P0038,War Beauty Conference,424,551.49,B0001
B0001_P0039,Season Home Watch,638,7566.86,B0001
B0001_P0040,East Beauty Court,779,525.59,B0001
B0001_P0041,Across Sports Go,563,1318.81,B0001
B0001_P0042,Successful Sports Own,449,8809.65,B0001
B0001_P0043,Expert Beauty Difficult,125,298.4,B0001
B0001_P0044,Sister Books Together,727,1592.19,B0001
B0001_P0045,From Electronics Share,566,4085.82,B0001
B0001_P0046,Now Books Rate,862,9130.16,B0001
B0001_P0047,Science Beauty Mother,970,1183.48,B0001
B0001_P0048,Arm Food Knowledge,511,9327.19,B0001
B0001_P0049,Explain Sports Clearly,522,7057.05,B0001
B0001_P0050,Write Toys Sing,855,4830.16,B0001
B0001_P0051,Least Beauty Maybe,250,4573.29,B0001
B0001_P0052,Contain Food Focus,393,1914.19,B0001
B0001_P0053,Republican Food Moment,885,707.39,B0001
B0001_P0054,Debate Toys Rock,349,9343.13,B0001
B0001_P0055,Approach Sports Several,841,35.62,B0001
B0001_P0056,Type Sports Woman,858,5873.5,B0001
B0001_P0057,Fact Beauty Ahead,887,1494.46,B0001
B0001_P0058,More Beauty Question,354,3331.07,B0001
B0001_P0059,Week Toys Week,467,9329.18,B0001
